Phrase,Word Count,Character Count,Phrase Without Spaces,Consonants,Consonants Count,Vowels Count
Every cloud has a silver lining,6,31,everycloudhasasilverlining,vrycldhsslvrlnng,16,15
Give credit where credit is due,6,31,givecreditwherecreditisdue,gvcrdtwhrcrdtsd,15,16
Money makes the world go around,6,31,moneymakestheworldgoaround,mnymksthwrldgrnd,16,15
The early bird catches the worm,6,31,theearlybirdcatchestheworm,thrlybrdctchsthwrm,18,13
Actions speak louder than words,5,31,actionsspeaklouderthanwords,ctnsspkldrthnwrds,17,14
Any publicity is good publicity,5,31,anypublicityisgoodpublicity,nypblctysgdpblcty,17,14
Nothing ventured nothing gained,4,31,nothingventurednothinggained,nthngvntrdnthnggnd,18,13
An army marches on its stomach,6,30,anarmymarchesonitsstomach,nrmymrchsntsstmch,17,13
Opportunity never knocks twice,4,30,opportunityneverknockstwice,pprtntynvrknckstwc,18,12
Beware of Greeks bearing gifts,5,30,bewareofgreeksbearinggifts,bwrfgrksbrnggfts,16,14
Feed a cold and starve a fever,7,30,feedacoldandstarveafever,fdcldndstrvfvr,14,16
There is nowt so queer as folk,7,30,thereisnowtsoqueerasfolk,thrsnwtsqrsflk,14,16
Two blacks do not make a white,7,30,twoblacksdonotmakeawhite,twblcksdntmkwht,15,15
Two wrongs do not make a right,7,30,twowrongsdonotmakearight,twwrngsdntmkrght,16,14
You are never too old to learn,7,30,youarenevertoooldtolearn,yrnvrtldtlrn,12,18
He who laughs last laughs best,6,30,hewholaughslastlaughsbest,hwhlghslstlghsbst,17,13
Late lunch makes day go faster,6,30,latelunchmakesdaygofaster,ltlnchmksdygfstr,16,14
Love makes the world go around,6,30,lovemakestheworldgoaround,lvmksthwrldgrnd,15,15
Never tell tales out of school,6,30,nevertelltalesoutofschool,nvrtlltlstfschl,15,15
There is no smoke without fire,6,30,thereisnosmokewithoutfire,thrsnsmkwthtfr,14,16
There is one born every minute,6,30,thereisoneborneveryminute,thrsnbrnvrymnt,14,16
Too many cooks spoil the broth,6,30,toomanycooksspoilthebroth,tmnyckssplthbrth,16,14
Beggars should not be choosers,5,30,beggarsshouldnotbechoosers,bggrsshldntbchsrs,17,13
Little strokes fell great oaks,5,30,littlestrokesfellgreatoaks,lttlstrksfllgrtks,17,13
One good turn deserves another,5,30,onegoodturndeservesanother,ngdtrndsrvsnthr,15,15
Prevention is better than cure,5,30,preventionisbetterthancure,prvntnsbttrthncr,16,14
Truth is stranger than fiction,5,30,truthisstrangerthanfiction,trthsstrngrthnfctn,18,12
A golden key can open any door,4,30,agolden key canopenany door,gldn ky cnpnny dr,17,13
Finders keepers losers weepers,4,30,finderskeeperslosersweepers,fndrskprslsrswprs,17,13
Variety is the spice of life ,6,29,varietyisthespiceoflife ,vrtysthspcflf ,14,15
A change is as good as a rest,8,29,achangeisasgoodasarest,chngssgdsrst,12,17
In for a penny in for a pound,8,29,inforapennyinforapound,nfrpnnynfrpnd,13,16
East is east and west is west,7,29,eastiseastandwestiswest,stsstndwstswst,14,15
Time and tide wait for no man,7,29,timeandtidewaitfornoman,tmndtdwtfrnmn,13,16
A rising tide lifts all boats,6,29,arisingtideliftsallboats,rsngtdlftsllbts,15,14
All that glitters is not gold,6,29,allthatglittersisnotgold,llthtglttrssntgld,17,12
Better wear out than rust out,6,29,betterwearoutthanrustout,bttrwrtthnrstt,14,15
Make hay while the sun shines,6,29,makehaywhilethesunshines,mkhywhlthsnshns,15,14
Slow and steady wins the race,6,29,slowandsteadywinstherace,slwndstdywnsthrc,16,13
Two heads are better than one,6,29,twoheadsarebetterthanone,twhdsrbttrthnn,14,15
Do not meet troubles half-way,5,29,donotmeettroubleshalf-way,dntmttrblshlf-wy,16,13
Fact is stranger than fiction,5,29,factisstrangerthanfiction,fctsstrngrthnfctn,17,12
Fine words butter no parsnips,5,29,finewordsbutternoparsnips,fnwrdsbttrnprsnps,17,12
Flattery will get you nowhere,5,29,flatterywillgetyounowhere,flttrywllgtynwhr,16,13
Laughter is the best medicine,5,29,laughteristhebestmedicine,lghtrsthbstmdcn,15,14
Little pitchers have big ears,5,29,littlepitchershavebigears,lttlptchrshvbgrs,16,13
There is honour among thieves,5,29,thereishonouramongthieves,thrshnrmngthvs,14,15
What goes around comes around,5,29,whatgoesaroundcomesaround,whtgsrndcmsrnd,14,15
Nothing succeeds like success,4,29,nothingsucceedslikesuccess,nthngsccdslksccss,17,12
A word to the wise is enough,7,28,awordtothewiseisenough,wrdtthwssngh,12,16
As you sow so shall you reap,7,28,asyousowsoshallyoureap,syswsshllyrp,12,16
Enough is as good as a feast,7,28,enoughisasgoodasafeast,nghssgdsfst,11,17
Set a thief to catch a thief,7,28,setathieftocatchathief,stthftctchthf,13,15
The boy is father to the man,7,28,theboyisfathertotheman,thbysfthrtthmn,14,14
Do not throw pearls to swine,6,28,donotthrowpearlstoswine,dntthrwprlstswn,15,13
Many a little makes a mickle,6,28,manyalittlemakesamickle,mnylttlmksmckl,14,14
Many a mickle makes a muckle,6,28,manyamicklemakesamuckle,mnymcklmksmckl,14,14
Money does not grow on trees,6,28,moneydoesnotgrowontrees,mnydsntgrwntrs,14,14
No man can serve two masters,6,28,nomancanservetwomasters,nmncnsrvtwmstrs,15,13
Strike while the iron is hot,6,28,strikewhiletheironishot,strkwhlthrnsht,14,14
Youth is wasted on the young,6,28,youthiswastedontheyoung,ythswstdnthyng,14,14
Handsome is as handsome does,5,28,handsomeisashandsomedoes,hndsmsshndsmds,14,14
Marriages are made in heaven,5,28,marriagesaremadeinheaven,mrrgsrmdnhvn,12,16
Penny wise and pound foolish,5,28,pennywiseandpoundfoolish,pnnywsndpndflsh,15,13
The customer is always right,5,28,thecustomerisalwaysright,thcstmrslwysrght,16,12
Softly softly catchee monkey,4,28,softlysoftlycatcheemonkey,sftlysftlyctchmnky,18,10
A miss is as good as a mile,8,27,amissisasgoodasamile,mssssgdsml,10,17
All is fair in love and war,7,27,allisfairinloveandwar,llsfrnlvndwr,12,15
Brevity is the soul of wit ,6,27,brevityisthesoulofwit,brvtysthslfwt,13,14
It is all grist to the mill,7,27,itisallgristtothemill,tsllgrsttthmll,14,13
Let the dead bury the dead ,6,27,letthedeadburythedead,ltthddbrythdd,13,14
Rome was not built in a day,7,27,romewasnotbuiltinaday,rmwsntbltndy,12,15
A stitch in time saves nine,6,27,astitchintimesavesnine,sttchntmsvsnn,13,14
All the world loves a lover,6,27,alltheworldlovesalover,llthwrldlvslvr,14,13
It never rains but it pours,6,27,itneverrainsbutitpours,tnvrrnsbttprs,13,14
Never speak ill of the dead,6,27,neverspeakillofthedead,nvrspkllfthdd,13,14
Once a witch always a witch,6,27,onceawitchalwaysawitch,ncwtchlwyswtch,14,13
Once a thief always a thief,6,27,onceathiefalwaysathief,ncthflwysthf,12,15
The age of miracles is past,6,27,theageofmiraclesispast,thgfmrclsspst,13,14
There is no place like home,6,27,thereisnoplacelikehome,thrsnplclkhm,12,15
To the victor go the spoils,6,27,tothevictorgothespoils,tthvctrgthspls,14,13
What goes up must come down,6,27,whatgoesupmustcomedown,whtgspmstcmdwn,14,13
Blood is thicker than water,5,27,bloodisthickerthanwater,bldsthckrthnwtr,15,12
Do not upset the apple cart,6,27,donotupsettheapplecart,dntpstthpplcrt,14,13
Every picture tells a story,5,27,everypicturetellsastory,vrypctrtllsstry,15,12
Fair exchange is no robbery,5,27,fairexchangeisnorobbery,frxchngsnrbbry,14,13
Shiny are the distant hills,5,27,shinyarethedistanthills,shnyrthdstnthlls,16,11
The end justifies the means,5,27,theendjustifiesthemeans,thndjstfsthmns,14,13
Familiarity breeds contempt,3,27,familiaritybreedscontempt,fmlrtybrdscntmpt,16,11
A good man is hard to find,7,26,agoodmanishardtofind,gdmnshrdtfnd,12,14
Do as you would be done by,7,26,doasyouwouldbedoneby,dsywldbdnby,11,15
All is well that ends well,6,26,alliswellthatendswell,llswllthtndswll,15,11
Do not cry over spilt milk,6,26,donotcryoverspiltmilk,dntcryvrspltmlk,15,11
Home is where the heart is,6,26,homeiswheretheheartis,hmswhrthhrts,12,14
Honesty is the best policy,5,26,honestyisthebestpolicy,hnstysthbstplcy,15,11
Many hands make light work,5,26,manyhandsmakelightwork,mnyhndsmklghtwrk,16,10
Only fools and horses work,5,26,onlyfoolsandhorseswork,nlyflsndhrsswrk,15,11
Put your best foot forward,5,26,putyourbestfootforward,ptyrbstftfrwrd,14,12
There is safety in numbers,5,26,thereissafetyinnumbers,thrssftynnmbrs,14,12
Another day another dollar,4,26,anotherdayanotherdollar,nthrdynthrdllr,14,12
It is like juggling sand ,5,25,itislikejugglingsand,tslkjgglngsnd,13,12
Fake it until you make it,6,25,fakeituntilyoumakeit,fktntlymkt,10,15
Pride goes before a fall ,5,25,pridegoesbeforeafall,prdgsbfrfll,11,14
A watched pot never boils,5,25,awatchedpotneverboils,wtchdptnvrbls,13,12
One hand washes the other,5,25,onehandwashestheother,nhndwshsththr,13,12
Right or wrong my country,5,25,rightorwrongmycountry,rghtrwrngmycntry,16,9
Careless talk costs lives,4,25,carelesstalkcostslives,crlsstlkcstslvs,15,10
Faith will move mountains,4,25,faithwillmovemountains,fthwllmvmntns,13,12
Fortune favours the brave,4,25,fortunefavoursthebrave,frtnfvrsthbrv,13,12
Least said soonest mended,4,25,leastsaidsoonestmended,lstsdsnstmndd,13,12
It takes one to know one,6,24,ittakesonetoknowone,ttksntknwn,10,14
Life is what you make it,6,24,lifeiswhatyoumakeit,lfswhtymkt,10,14
Oil and water do not mix,6,24,oilandwaterdonotmix,lndwtrdntmx,11,13
Out of sight out of mind,6,24,outofsightoutofmind,tfsghttfmnd,11,13
Penny Penny  Makes many ,4,24,pennypennymakesmany,pnnypnnymksmny,14,10
Beauty is only skin deep,5,24,beautyisonlyskindeep,btysnlyskndp,12,12
Big fish eat little fish,5,24,bigfisheatlittlefish,bgfshtlttlfsh,13,11
Every stick has two ends,5,24,everystickhastwoends,vrystckhstwnds,14,10
Good talk saves the food,5,24,goodtalksavesthefood,gdtlksvsthfd,12,12
He who hesitates is lost,5,24,hewhohesitatesislost,hwhhsttsslst,12,12
Stupid is as stupid does,5,24,stupidisasstupiddoes,stpdssstpdds,12,12
Barking dogs seldom bite,4,24,barkingdogsseldombite,brkngdgssldmbt,14,10
Curiosity killed the cat,4,24,curiositykilledthecat,crstyklldthct,13,11
Moderation in all things,4,24,moderationinallthings,mdrtnnllthngs,13,11
Practice what you preach,4,24,practicewhatyoupreach,prctcwhtyprch,13,11
Wonders will never cease,4,24,wonderswillnevercease,wndrswllnvrcs,13,11
Business before pleasure,3,24,businessbeforepleasure,bsnssbfrplsr,12,12
Do as I say not as I do,8,23,doasisaynotasido,dssyntsd,8,15
If the cap fits wear it,6,23,ifthecapfitswearit,fthcpftswrt,11,12
Every Jack has his Jill,5,23,everyjackhashisjill,vryjckhshsjll,13,10
Every man has his price,5,23,everymanhashisprice,vrymnhshsprc,12,11
Hard cases make bad law,5,23,hardcasesmakebadlaw,hrdcssmkbdlw,12,11
Nine tailors make a man,5,23,ninetailorsmakeaman,nntlrsmkmn,10,13
You cannot win them all,5,23,youcannotwinthemall,ycnntwnthmll,12,11
First come first served,4,23,firstcomefirstserved,frstcmfrstsrvd,14,9
Great minds think alike,4,23,greatmindsthinkalike,grtmndsthnklk,13,10
Money is not everything,4,23,moneyisnoteverything,mnysntvrythng,13,10
Shrouds have no pockets,4,23,shroudshavenopockets,shrdshvnpckts,13,10
Tomorrow is another day,4,23,tomorrowisanotherday,tmrrwsnthrdy,12,11
Forewarned is forearmed,3,23,forewarnedisforearmed,frwrndsfrrmd,12,11
All roads lead to Rome,5,22,allroadsleadtorome,llrdsldtrm,10,12
Dead men tell no tales,5,22,deadmentellnotales,ddmntllntls,11,11
East west home is best,5,22,eastwesthomeisbest,stwsthmsbst,11,11
Every tide has its ebb,5,22,everytidehasitsebb,vrytdhstsbb,11,11
No rest for the wicked,5,22,norestforthewicked,nrstfrthwckd,12,10
Seek and ye shall find,5,22,seekandyeshallfind,skndyshllfnd,12,10
Time is a great healer,5,22,timeisagreathealer,tmsgrthlr,9,13
When it rains it pours,5,22,whenitrainsitpours,whntrnstprs,11,11
Better late than never,4,22,betterlatethannever,bttrltthnnvr,12,10
Better safe than sorry,4,22,bettersafethansorry,bttrsfthnsrry,13,9
Charity begins at home,4,22,charitybeginsathome,chrtybgnsthm,12,10
Every little bit helps,4,22,everylittlebithelps,vrylttlbthlps,13,9
It goes without saying,4,22,itgoeswithoutsaying,tgswthtsyng,11,11
Let bygones be bygones,4,22,letbygonesbebygones,ltbygnsbbygns,13,9
Nature abhors a vacuum,4,22,natureabhorsavacuum,ntrbhrsvcm,10,12
Accidents will happen ,3,22,accidentswillhappen,ccdntswllhppn,13,9
Comparisons are odious,3,22,comparisonsareodious,cmprsnsrds,10,12
History repeats itself,3,22,historyrepeatsitself,hstryrptstslf,13,9
Physician heal thyself,3,22,physicianhealthyself,physcnhlthyslf,14,8
Practice makes perfect,3,22,practicemakesperfect,prctcmksprfct,13,9
Even a worm will turn,5,21,evenawormwillturn,vnwrmwlltrn,11,10
Every dog has his day,5,21,everydoghashisday,vrydghshsdy,11,10
It takes two to tango,5,21,ittakestwototango,ttkstwttng,10,11
Third time is a charm,5,21,thirdtimeisacharm,thrdtmschrm,11,10
Bad news travels fast,4,21,badnewstravelsfast,bdnwstrvlsfst,13,8
Cold hands warm heart,4,21,coldhandswarmheart,cldhndswrmhrt,13,8
Let sleeping dogs lie,4,21,letsleepingdogslie,ltslpngdgsl,11,10
Loose lips sink ships,4,21,looselipssinkships,lslpssnkshps,12,9
More haste less speed,4,21,morehastelessspeed,mrhstlssspd,11,10
Once bitten twice shy,4,21,oncebittentwiceshy,ncbttntwcshy,12,9
Still waters run deep,4,21,stillwatersrundeep,stllwtrsrndp,12,9
A house is not a home,3,21,a house isnota home, hs snt hm,10,11
Keep your powder dry,4,20,keepyourpowderdry,kpyrpwdrdry,11,9
All you need is love,5,20,allyouneedislove,llyndslv,8,12
Do not rock the boat,5,20,donotrocktheboat,dntrckthbt,10,10
It is never too late,5,20,itisnevertoolate,tsnvrtlt,8,12
Love will find a way,5,20,lovewillfindaway,lvwllfndwy,10,10
No news is good news,5,20,nonewsisgoodnews,nnwssgdnws,10,10
You are what you eat,5,20,youarewhatyoueat,yrwhtyt,7,13
All things must pass,4,20,allthingsmustpass,llthngsmstpss,13,7
Clothes make the man,4,20,clothesmaketheman,clthsmkthmn,11,9
Fight fire with fire,4,20,fightfirewithfire,fghtfrwthfr,11,9
Let the buyer beware,4,20,letthebuyerbeware,ltthbyrbwr,10,10
Life begins at forty,4,20,lifebeginsatforty,lfbgnstfrty,11,9
Like father like son,4,20,likefatherlikeson,lkfthrlksn,10,10
Look before you leap,4,20,lookbeforeyouleap,lkbfrylp,8,12
Patience is a virtue,4,20,patienceisavirtue,ptncsvrt,8,12
The more the merrier,4,20,themorethemerrier,thmrthmrrr,10,10
Cheats never prosper,3,20,cheatsneverprosper,chtsnvrprspr,12,8
Count your blessings,3,20,countyourblessings,cntyrblssngs,12,8
Hope springs eternal,3,20,hopespringseternal,hpsprngstrnl,12,8
Misery loves company,3,20,miserylovescompany,msrylvscmpny,12,8
Tomorrow never comes,3,20,tomorrownevercomes,tmrrwnvrcms,11,9
Any port in a storm,5,19,anyportinastorm,nyprtnstrm,10,9
No man is an island,5,19,nomanisanisland,nmnsnslnd,9,10
Never say never[34],3,19,neversaynever[34],nvrsynvr[34],12,7
Seeing is believing,3,19,seeingisbelieving,sngsblvng,9,10
Crime does not pay,4,18,crimedoesnotpay,crmdsntpy,9,9
Let your hair down,4,18,letyourhairdown,ltyrhrdwn,9,9
The good die young,4,18,thegooddieyoung,thgddyng,8,10
Waste not want not,4,18,wastenotwantnot,wstntwntnt,10,8
First things first,3,18,firstthingsfirst,frstthngsfrst,13,5
Horses for courses,3,18,horsesforcourses,hrssfrcrss,10,8
Manners maketh man,3,18,mannersmakethman,mnnrsmkthmn,11,7
Boys will be boys,4,17,boyswillbeboys,byswllbbys,10,7
Easy come easy go,4,17,easycomeeasygo,sycmsyg,7,10
Keep your chin up,4,17,keepyourchinup,kpyrchnp,8,9
Live and let live,4,17,liveandletlive,lvndltlv,8,9
Make love not war,4,17,makelovenotwar,mklvntwr,8,9
Speak as you find,4,17,speakasyoufind,spksyfnd,8,9
Haste makes waste,3,17,hastemakeswaste,hstmkswst,9,8
Might makes right,3,17,mightmakesright,mghtmksrght,11,6
Silence is golden,3,17,silenceisgolden,slncsgldn,9,8
No guts no glory,4,16,nogutsnoglory,ngtsnglry,9,7
Enough is enough,3,16,enoughisenough,nghsngh,7,9
Milking the bull,3,16,milkingthebull,mlkngthbll,10,6
Pearls of wisdom,3,16,pearlsofwisdom,prlsfwsdm,9,7
Revenge is sweet,3,16,revengeissweet,rvngsswt,8,8
Speech is silver,3,16,speechissilver,spchsslvr,9,7
No pain no gain,4,15,nopainnogain,npnngn,6,9
To each his own,4,15,toeachhisown,tchhswn,7,8
Free is for me,4,14,freeisforme,frsfrm,6,8
Let well alone,3,14,letwellalone,ltwllln,7,7
Might is right,3,14,mightisright,mghtsrght,9,5
Time will tell,3,14,timewilltell,tmwlltll,8,6
Truth will out,3,14,truthwillout,trthwllt,8,6
Love is blind,3,13,loveisblind,lvsblnd,7,6
Slow but sure,3,13,slowbutsure,slwbtsr,7,6
Talk is cheap,3,13,talkischeap,tlkschp,7,6
Time is money,3,13,timeismoney,tmsmny,6,7
Less is more,3,12,lessismore,lsssmr,6,6
Money talks,2,11,moneytalks,mnytlks,7,4
Time flies,2,10,timeflies,tmfls,5,5
It is on,3,8,itison,tsn,3,5
